Position Name,Salary,Job Type,Shift & Schedule,Company,Location,Rating,URL,"ID",Posted At,Scraped At,Short Description,External Apply Link
Data Product Owner Business Banking (m/w/d),,,,Richard H. Gruber Consulting GmbH,60486 Frankfurt am Main,,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CYyiOWhfFsaZdGpzwiIdxIGONKuSTpBt5edXu66bXsryDAAqTvFAZPp7NPqwYS-dxrsmiGru2PkZabYGRuR-Pm_ZAx5eA0IHjc7d2J7lzU0a0z5g8aOS_xx3dQrG7d-PUqWI8cguM8ZKviY8KlrEJWlA0WhlwrKdl20OBgOVqf7P8qyP19fGDSkTyyHtiSSsReIc18aCy5lI3m0nZRWP8cNi8z0ysAD8UEavbPKljDiujy_5DG4yvVtVGuTkx4DGCcfIhb6QmdnEXViUCVCF9uzWuxY25OGz5FWqPewOS3uOjLe9kJoGADi66zFD57UfP1FJM1n1Vt239TFX0iJXnyqyOHv_8wqV-M5U7LmmFDK64rSewaeUfUoWRazH4gpKLIXkFUjzrh-5jvgIsO0Yed7zNBKL4u5gf_eAytLUhcm3v1MoVvIgxdr9w91QlxyYnGvmXgeMaLATfE_oQrYrcTJV5ZMwMiz3ldJxylWWEqblUW1lQZh72dZmyh0OUBu4Qa4Nqtr5cIhYQtAEirKm1F49YCYi6YFxutrHxDS-O029mgSRq5MovgFKj088v35syV5Q4Q24thfF5GHj0XCwurq7z22hAEAfYIXgF5efQrAIgyQbwaagIf38o9Amk8ptBGDg6yYtx3YhR2O-zz-oCVRfLDuIvC0pArnHoVkcMZHbn5pJK__vvdy3mHyJbrZFz0pVhHAPED31_IzDC6WMFFlR-Q5gIrOu_Bvrm4otqclKp2tw2OemH71sokgOZBgpHEsEpqpBuizNNx0UvupDFXfoHbed1ocoOv4VfCmhkZ4VkUNCepd-2XeQQdBvPch88C3tsOGKBQyT6EuMfzpA2g9KO31GRrg32p5dPghcdmeybnO1_UqOLXmzXetXt_Mus=&xkcb=SoBu6_M33U8XhT2OBJ0LbzkdCdPP&camk=nUmJqO2E8rjaWrLRs9d9iA==&p=0&fvj=0&vjs=3,193600e42fdeda8c,,2025-01-03T00:48:59.054Z,,de.indeed.com/applystart?jk=193600e42fdeda8c
Sachbearbeiter Datenanalyse und Berichtswesen (m/w/d),,Montag bis Freitag,,CHEFS CULINAR,22525 Hamburg,,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaogPIGnL36ungvhNiPQ--t5mHEJHFDsc1DIZQBbRjfQ6L2jsk46UwMgvlclLYrP-2SkAlHTw0wYjP2s97FH-2c4jkC7AXCCwiOCmMGGx-kn0nAd3BJlLP7LoaYqO22KVRDedZ1pbV7O6Hktgl9Ozj7qx3UTvJ-yK8QLBC1_PCQ5aq7LsGIIozlHCk4dWZILhYlP2nCik8mVNfcrOHssT4eqcRBpIpRBlpaRFPRtiBy7a_F_xwsV1tTH2eEcEs79Caz6jVdfENIJ8wIik10aR2x1kEAdgIDZ05iy3HuLxlvjU5P8mbmUd79B12mh8zhav2aAdup2_jZpVWfTb1h2bWPVVtNFVUTf_Y_ayL5BS6ltXlnCcHcZt5tnjnKDh1VN_qKEW_1sIxqp7NGQCoyXc199ngl54O0nLb48XHEH3TaofN5fCsAx9wvGOtr7Y6G3l13hxyKNTTRoWVgQpIR_k9CxG5E6L6EeG1Sq6WK1-4spdJY5ftpUMjClG-5-1sHWU6eAgRiHjZUhx266adKfxqKvgSXaCUWivxe3R--2wdfs5yB1Tciw_ZSfrnsnX47mmgtlfB-MrXFFbeA0q3o4EnYcdKXCW5Z3KPYY4Xd1kQjHv1hyBjAfuU9KRWG25AhlzTRSNcPF-0c8HjAxJDhPgmO3OPImV4cif-EteFi4NoQOiyzyHgdTRn2kvH_75gDooWi6DWzpx1bg==&xkcb=SoDa6_M33U8XhT2OBJ0KbzkdCdPP&camk=4HOcmqOLYrCd4UgjmUSYow==&p=1&fvj=0&vjs=3,a7a101f825f63370,,2025-01-03T00:48:59.054Z,,de.indeed.com/applystart?jk=a7a101f825f63370
Data Analyst (w/m/d) – Data Visualization (Tableau),,,,von Poll Immobilien GmbH,60323 Frankfurt am Main,,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bq1lrHgBrOUn2rKBnWVWbCBirCM1Vr0WHB_EjE5I1rsat7Bzi3DmYIfr9UxjJc9GaF6xe0I9hGvaA-8iy9OVnT0sL_rd42bNOfbiQ_bqBm96aOgLM4YOMZCqvjE21PB_o0bHfDqSATSjfKsoPxbiExqE2_nKexkSbrgqOaM6f-DU4I14ZHKccslo2eFbCtjERF4VeT8TY1AnFSAz6t3oOIlaxt0nROhAknPZYLk3cqpWfcwlZMJTnmiCshg2dcEqxltl1_n3Tqt170G4KtxPL2-yw8qLhJfDmpTmXPU9KdSbh54i33g_DHTEe8hSHMu6Lf6TFn8_0HU0qSK6wiAYU0x9Ep9wN8yuxaFJ56wqFanx3GBCRG-VUCcEfjzaGKLj9JRxj3siX_DLkN2tTZ8L4mmmeSamHSpA_I7es-lxAfrZEFt9JgAIEsy107EhajxyFuo8vlt1mB4eN2taFpDMQukElVIT09xMppdQZLCzRPmn8CiGd3UjIggL2RkkiQL16LtPWlXRiZMb7qx0bWG3eNdUTFCYt5oUOXTnrVzVeIkrX5WdtMaQ3Obto9czGDYSyS9_PXJ3-z4Fbqd8xJs2QTr24PzIRLc6nriOpVq6zC7w9gCL7_5VPtehWMvfd3hqUEYx8FmrxAtvZBrDNQOaqvMAGyy3-DrlI-hgvrCOS9jsa-tvvYPXtd-OplrvbcfwYSI6cg20tTjHlJBC0BPgNNny-geO5H6spG_4T4VG6BjA==&xkcb=SoBH6_M33U8XhT2OBJ0JbzkdCdPP&camk=4HOcmqOLYrCpVr8_IdoCgA==&p=2&fvj=1&vjs=3,efc028c933b03156,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=efc028c933b03156
Power BI Analyst (m/w/d),,,,Hays AG,Offenburg,,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0wj5AXSXvlSTZ_ElArzG3rzKm092HTC4At3lyVzSrhfOeEEP3BT8G73GrybDhoyqbIyZUzDXcONejOiLy-09KM1qHRlBWt6o414bHOodanq7kROlbsSTsLa-bE8L3jP-DHIvm3-jTmZAzAs20dyhzANxRhjjpquAslPl3AT8iw1gj--0ez_hlCTvpPOopOcVSyOQTXY201cUXhje7lqZXcmt1-aW-LT6kWJFJjZM7exdW_hVwmGpAsicjGc8nOFRkHet0dpvydf1ljreNwmDlYPlL_lpw-SV6QxzwrrrHrQMn18zFENjyw8T8TIMXNXle5qhMj4XibT-Xpua6bANx2fr09h4FKnfwNeZkpCNpEdBtzSmS414lTXlU1oymcPdZ2bPvkzDmoeJykGq2IlvrOmzMF4vVZn1t9MI3d_9Dm47tv24YaCwWlOsWn4j6bZiS5-254Ze40WLH_5XFCGpuEKVxYBjvgF3ZSSH1bPX1GGe6pugsQbYEeq9kKJjelvbznuwcW2aW-l6NUPAxkQ3pp5yB98hg4EMkrLc6ic9eBz3IWhST2WHUm2H-xuc-VLwU5Xms7L4W03beJTYargdX9mP_Xew5ErwSex9Wep6xhiVspZtlZ8hrMmuC7FkeruuM_kRg3LDlYRpHj6YPwbfh1MP-fN737F3_O2-sUl2Y9fk6mVB0qKG7qXgn_Ug20qr2J1oQmgN3aXA3wsLRWIDnSf6DZOUOvMdNRmJdw53KVCpjZLty0LN3wcyGXrNXP_-6fad16Vg5sGks8atXhx8NmrxA8MWBexWSmj4Ff6AqThFesaX0NCriRia4IqKg-dItGxNez5enD5bN0dhKAZmJUVEqPk18qgrF7jWcdqVezHuywn5VaMwdP8_Qd1ZGrdiEaPLSETmkJhLoKKqXlL1XyhjL7cmvGAFms6yf-tFvYviHPRPRvbi7wOf2iXB2GmgYXBRTdYUdABJbOxeYoK66-Bsoqw7uTAO0cqrwf0E7zbvlC0NGnWAk1ux4zWF-1L2OgtkzdImk_ra8sR88v-VH&xkcb=SoDz6_M33U8XhT2OBJ0IbzkdCdPP&camk=ethIe0s0hect1Ldpjn29fw==&p=3&fvj=1&vjs=3,bf4d1c2fed67c1c3,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=bf4d1c2fed67c1c3
Junior Data Analyst (m/f/d),,,,Redcare Pharmacy,50670 Köln,,https://de.indeed.com/rc/clk?jk=480080cde5024796&bb=8j6vj-MTb-lo6Z9Dtna5BnFU958TBh1EOhJI31pUYB_Ydq_aqiQfgVBckGdk2CdZqSLO_8XQBY9T5EVSH_OH0kGT6IqtF9ts1XLI7owDes4N0QXshRyvhLOwq1SvqXhP&xkcb=SoCJ67M33U8XhT2OBJ0PbzkdCdPP&fccid=c8eb8ec33e569f88&vjs=3,480080cde5024796,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=480080cde5024796
Data Strategist Handel (m/w/d),,,,Hays AG,Homeoffice,,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0wj5AXSXvlSTZ_ElArzG3rzKm092HTC4At3lyVzSrhfOeEEP3BT8GluJ6kpqbyDhzFt2-7GrzWrL5Oi7qT4cK2pS0vWBxmcB9Tp0naOd7tpECj2K-tWN-zDLuNiwPCTFKgyqcoFnM4taeUeMLzyMQHFcDjLBkYnHDGb7WtxRlYWkGSqwaOOp4aDg0noOZNsCDPJ_hgw3MtM4QTlV-RYydMD7hwyCqcxLvwS-tgrK2K44aEEUbtMOOjKvLlAHFBZ3jgIwYzjfg5N28crOjgEESX4_gORRUMmz23cL8foP8m4raTBBGJQ7LPET4SOLm3aLXNEMeHUKDYr2nhGm30C7zgRccDpqCCd8gTnd1rujgIf5b2ywZBg3akQX71bORgW3XLOpQde52smq98BTG9zwK11T8xGZNtWFMKJe_wQNnHxfUN8TD9V_Btz4IigN8Ry2kkDw2SF6m4DwFuG3ZbvgDO-ruyMSegiOXSsyRDHgWDy9r6qhcp1XspSvH8Wq-Ne-o4vRSJHteQ-UadWjV2efn9iEyC46igbgW9XdKBpcktpAMq_MS0lPq2gkMXjZ0khtt1KPH2dKmxoretfhH7IDM1_WobUl93n4NcThLJTv2t9UJfl_BWgD4-vkImMryjZx0eg6b_VhJ17fIacnWPYyxKDm-uyWBDc2edW01dT_9FS18DGIiWD17SmKKzJov85CJ08_d5DM2FnCdCobTy7YUuIfCint5QVfhTJ4LzIHXXuHoNV4DPXSW7zrqQFL8ZrAm4YkEH5Lrs_UAdJRjqu74v4mztuNugC-J8_gQWI1BtgFk-mwIwHsks8rwRiXkvR3pzboWeES5Mc06_Vy2MHK1veJAm8YUiqMiF9Vazybm8Ihi6Ulp4CKSNyQjs3b8XbSc4fEgg_UbkejH7QjB_6IBDRX09S2VO6jIOwOVKpQZfyOSOVOwjGiSuaOzL7U0Yaff4cJlCZJPZFM7V-IXv7UASOw-c3__e_mZPgv0DYgL3Z6q8KlL66v4aggslumIoapWH2xYHWUyzTjzUKnzSKjh&xkcb=SoDJ6_M33U8XhT2OBJ0ObzkdCdPP&camk=ethIe0s0heelja6QyDGxdg==&p=5&fvj=1&vjs=3,13d6fa5937df405c,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=13d6fa5937df405c
Data Analyst (m/w),,,,Buhl Data Service GmbH,57290 Neunkirchen (Siegerland),,https://de.indeed.com/rc/clk?jk=977c8b3fc35be0f8&bb=8j6vj-MTb-lo6Z9Dtna5BhwEvFxkTbsZ758m3HMSL8tax3p8T7jPfp5iN7aROvrhpJxS-DMax67T0kYrzUBSDCjea7ipzgRwdbv8NCY5MjVgoP8vxo4Khi5njCkvl5ck&xkcb=SoCg67M33U8XhT2OBJ0NbzkdCdPP&fccid=b938a22baf85e824&vjs=3,977c8b3fc35be0f8,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=977c8b3fc35be0f8
Data Analyst Köln (m/w/d),,,,Zurich Insurance,Köln,,https://de.indeed.com/rc/clk?jk=e21437e492e74c2d&bb=8j6vj-MTb-lo6Z9Dtna5BnTfmtk5tGOOpXeq0WXOGpePX7zU-trB3WYlQrZZtxD9-nZiKpGrpfoyWrpgjHup4Yepq1Q8H8rLlpbjSml3Ab7wvS-hdgm-MLmfl_DLALkL&xkcb=SoAU67M33U8XhT2OBJ0MbzkdCdPP&fccid=40f6e1ba1aac8472&vjs=3,e21437e492e74c2d,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=e21437e492e74c2d
"Data Analyst - Supply, Sales & Operations (f/m/x)",,,,Tourlane GmbH,Berlin,,https://de.indeed.com/rc/clk?jk=77b09fd9305dd195&bb=8j6vj-MTb-lo6Z9Dtna5Bje2WgjZ6-joP4tU_uSrnCjy4cw0WvSM6OKMpZ2ZHAvGgRD85IjLwZHDXe8kYKYEyK5sBEEfy6VlS3wv9-dlHBiPvtzRS0jW682of1Asr4yn&xkcb=SoD967M33U8XhT2OBJ0DbzkdCdPP&fccid=a24e300187ca49dd&vjs=3,77b09fd9305dd195,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=77b09fd9305dd195
BI Data Analyst (alle*),,,,HÄVG Rechenzentrum GmbH,51149 Köln,,https://de.indeed.com/rc/clk?jk=72108778fe46e06d&bb=8j6vj-MTb-lo6Z9Dtna5Bq5WbfUdaOmtSDzbBb0iN23KqiXr03pTsHS5Zhnmr1sXSs8YpEPwJpry-Vtgu5_nPyfGhea54oTJNhe1xTdbgmckyhEkOPM0jzoofZyWa998&xkcb=SoBJ67M33U8XhT2OBJ0CbzkdCdPP&fccid=3c59ded822f49f00&vjs=3,72108778fe46e06d,,2025-01-03T00:48:59.055Z,,de.indeed.com/applystart?jk=72108778fe46e06d
