title,company,location,job_type,salary
Mathematiker/Aktuar (d/m/w) Data Science/Pricing/Risikomanagement/Solvency II,Meyerthole Siems Kohlruss Ges. für aktuarielle Beratung mbH,Köln,,44.000 - 67.000 €/Jahr  (geschätzt für Vollzeit)
Referent (m/w/d) Assetmanagement - Schwerpunkt Data Science,Avacon Netz GmbH,Salzgitter,Teilweise Home-Office,60.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
"Duales Studium Wirtschaftsinformatik/Data Science, Bachelor of Science, Mercedes-Benz AG, GLC Germersheim, Studienbeginn 1. Oktober 2025, (w/m/d), im Campusmodell mit Stuttgart",Mercedes-Benz AG,Germersheim,Teilweise Home-Office,
Duales Studium - Wirtschaftsinformatik Data Science (B. Sc. m/w/d) 2025,TTS Tooltechnic Systems AG & CO. KG,Wendlingen (bei Stuttgart),Teilweise Home-Office,
Trainee (w/m/d) Kreditrisikomanagement – Data Science,KfW Bankengruppe,Frankfurt am Main,Teilweise Home-Office,
"Senior Essential Adoption Service Consultant (w/m/d) - Data Science, Automation & Technology",SAP SE,"St. Leon-Rot, DE, 68789",Teilweise Home-Office,65.000 - 87.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium Wirtschaftsinformatik Data Science (B.Sc.) - Start Oktober 2025 (m/w/d),RSM Ebner Stolz,"Köln, Stuttgart, Heilbronn",,
"Duales Studium Wirtschaftsinformatik/Data Science, Bachelor of Science (w/m/d), Mercedes-Benz Group AG, Stuttgart, Studienbeginn 01.10.2025",Mercedes-Benz Group AG,Stuttgart,Teilweise Home-Office,
Werkstudent (m/w/d) – Risikomanagement | Data Science,Sparkassen Rating und Risikosysteme GmbH,Berlin,Teilweise Home-Office,
Internship Data Science Finance,Kautex Textron GmbH & Co.KG,Bonn-Holzlar,,
DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science (01.09.2025),WGV - Württembergische Gemeinde-Versicherung a.G.,Stuttgart,Teilweise Home-Office,
Duales Studium - Data Science + KI (m/w/d) 2025,adidas AG,Herzogenaurach,,400 - 1.565 €/Monat  (geschätzt für Vollzeit)
Portfolio Analyst:in / Data Analyst:in im Portfolio Steering Specialty,HDI AG,Hannover,,54.000 - 90.000 €/Jahr  (geschätzt für Vollzeit)
Business Analyst (m/w/d) - im Team Data Science Solutions,Markant Gruppe,Offenburg,Teilweise Home-Office,54.000 - 74.000 €/Jahr  (geschätzt für Vollzeit)
Data Science Working Student (f/m/d),E.ON Group Innovation GmbH,München,Teilweise Home-Office,
Referent Data Science (m/w/divers),Lufthansa Technik AG,Hamburg,,68.000 - 91.000 €/Jahr  (geschätzt für Vollzeit)
Duale Studenten* Data Science & künstliche Intelligenz – Bachelor,Schmidt + Clemens GmbH + Co. KG,Lindlar,,
Buisness Controller/Data Analyst (m/w/d),Sunnic Lighthouse GmbH,Hamburg,,40.000 - 67.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst (m/w/d),RAUCH Fruchtsäfte GmbH & Co OG,Rankweil,Teilweise Home-Office,
"Data Analyst - Supply, Sales & Operations (f/m/x)",Tourlane GmbH,"Berlin, Germany",,35.000 - 48.000 €/Jahr  (geschätzt für Vollzeit)
Wissenschaftliche Mitarbeiterin bzw. Wissenschaftlicher Mitarbeiter (m/w/d) als Leitung des Forschungsbereichs Data Science und Softwareentwicklung am Kompetenzzentrum Krisenfrüherkennung,Universität der Bundeswehr München,Neubiberg,Teilweise Home-Office,
Senior AI / Data Science Engineer (m/w/d),GBTEC Software AG,Bochum,Teilweise Home-Office,56.000 - 74.000 €/Jahr  (geschätzt für Vollzeit)
"Mitarbeiter*in (m/w/d) Studiengangsekretariat für die Studiengänge Wirtschaftsinformatik, Data Science und Künstliche Intelligenz",Duale Hochschule Baden-Württemberg Heilbronn,Heilbronn,Teilweise Home-Office,2.720 - 3.360 €/Monat  (geschätzt für Vollzeit)
Data Analyst (m/w/d),Mediq Deutschland GmbH,"Merzig, Liederbach, Dresden",Teilweise Home-Office,50.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
Praktikum als Fellow Consultant (w/m/d) Steering Lab - Schwerpunkt Data Science,Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",Teilweise Home-Office,
Mathematiker/Aktuar (d/m/w) Data Science/Pricing/Risikomanagement/Solvency II,Meyerthole Siems Kohlruss Ges. für aktuarielle Beratung mbH,Köln,,44.000 - 67.000 €/Jahr  (geschätzt für Vollzeit)
Referent (m/w/d) Assetmanagement - Schwerpunkt Data Science,Avacon Netz GmbH,Salzgitter,Teilweise Home-Office,60.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
"Duales Studium Wirtschaftsinformatik/Data Science, Bachelor of Science, Mercedes-Benz AG, GLC Germersheim, Studienbeginn 1. Oktober 2025, (w/m/d), im Campusmodell mit Stuttgart",Mercedes-Benz AG,Germersheim,Teilweise Home-Office,
Duales Studium - Wirtschaftsinformatik Data Science (B. Sc. m/w/d) 2025,TTS Tooltechnic Systems AG & CO. KG,Wendlingen (bei Stuttgart),Teilweise Home-Office,
Trainee (w/m/d) Kreditrisikomanagement – Data Science,KfW Bankengruppe,Frankfurt am Main,Teilweise Home-Office,
"Senior Essential Adoption Service Consultant (w/m/d) - Data Science, Automation & Technology",SAP SE,"St. Leon-Rot, DE, 68789",Teilweise Home-Office,65.000 - 87.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium Wirtschaftsinformatik Data Science (B.Sc.) - Start Oktober 2025 (m/w/d),RSM Ebner Stolz,"Köln, Stuttgart, Heilbronn",,
"Duales Studium Wirtschaftsinformatik/Data Science, Bachelor of Science (w/m/d), Mercedes-Benz Group AG, Stuttgart, Studienbeginn 01.10.2025",Mercedes-Benz Group AG,Stuttgart,Teilweise Home-Office,
Werkstudent (m/w/d) – Risikomanagement | Data Science,Sparkassen Rating und Risikosysteme GmbH,Berlin,Teilweise Home-Office,
Internship Data Science Finance,Kautex Textron GmbH & Co.KG,Bonn-Holzlar,,
DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science (01.09.2025),WGV - Württembergische Gemeinde-Versicherung a.G.,Stuttgart,Teilweise Home-Office,
Duales Studium - Data Science + KI (m/w/d) 2025,adidas AG,Herzogenaurach,,400 - 1.565 €/Monat  (geschätzt für Vollzeit)
Portfolio Analyst:in / Data Analyst:in im Portfolio Steering Specialty,HDI AG,Hannover,,54.000 - 90.000 €/Jahr  (geschätzt für Vollzeit)
Business Analyst (m/w/d) - im Team Data Science Solutions,Markant Gruppe,Offenburg,Teilweise Home-Office,54.000 - 74.000 €/Jahr  (geschätzt für Vollzeit)
Data Science Working Student (f/m/d),E.ON Group Innovation GmbH,München,Teilweise Home-Office,
Referent Data Science (m/w/divers),Lufthansa Technik AG,Hamburg,,68.000 - 91.000 €/Jahr  (geschätzt für Vollzeit)
Duale Studenten* Data Science & künstliche Intelligenz – Bachelor,Schmidt + Clemens GmbH + Co. KG,Lindlar,,
Buisness Controller/Data Analyst (m/w/d),Sunnic Lighthouse GmbH,Hamburg,,40.000 - 67.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst (m/w/d),RAUCH Fruchtsäfte GmbH & Co OG,Rankweil,Teilweise Home-Office,
"Data Analyst - Supply, Sales & Operations (f/m/x)",Tourlane GmbH,"Berlin, Germany",,35.000 - 48.000 €/Jahr  (geschätzt für Vollzeit)
Wissenschaftliche Mitarbeiterin bzw. Wissenschaftlicher Mitarbeiter (m/w/d) als Leitung des Forschungsbereichs Data Science und Softwareentwicklung am Kompetenzzentrum Krisenfrüherkennung,Universität der Bundeswehr München,Neubiberg,Teilweise Home-Office,
Senior AI / Data Science Engineer (m/w/d),GBTEC Software AG,Bochum,Teilweise Home-Office,56.000 - 74.000 €/Jahr  (geschätzt für Vollzeit)
"Mitarbeiter*in (m/w/d) Studiengangsekretariat für die Studiengänge Wirtschaftsinformatik, Data Science und Künstliche Intelligenz",Duale Hochschule Baden-Württemberg Heilbronn,Heilbronn,Teilweise Home-Office,2.720 - 3.360 €/Monat  (geschätzt für Vollzeit)
Data Analyst (m/w/d),Mediq Deutschland GmbH,"Merzig, Liederbach, Dresden",Teilweise Home-Office,50.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
Praktikum als Fellow Consultant (w/m/d) Steering Lab - Schwerpunkt Data Science,Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",Teilweise Home-Office,
Controller:in & Data-Analyst:in,HELLMUT RUCK GmbH,Neuenbürg,,44.000 - 61.000 €/Jahr  (geschätzt für Vollzeit)
Accounting Data Analyst (m/w/d),Allianz Versicherungs-AG,Unterföhring,Teilweise Home-Office,55.000 - 84.000 €/Jahr  (geschätzt für Vollzeit)
"Duales Studium Bachelor of Science in Data Science und Künstlicher Intelligenz (m/w/d), ab 09/2025",DATEV eG,Nürnberg,Teilweise Home-Office,
Data Analyst (m/w/d) Supply Chain Management,Bünting SCM / Logistik GmbH & Co. KG,Nortmoor,Teilweise Home-Office,65.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)
"Dualer Masterstudent (m/w/d) Schwerpunkt Informatik, Data Science, Künstliche Intelligenz u.a.",ITSC GmbH,"Hannover, bundesweit, Home-Office",Teilweise Home-Office,
Praktikant (m|w|d) mit optionaler Abschlussarbeit | Bereich Data Science & Product Management,Voith Group,Mönchengladbach,,
Data Warehouse Business Analyst:in / Data Modeler,HDI AG,Hannover,Teilweise Home-Office,63.000 - 85.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst (m/w/d),BD24 Berlin Direkt Service und Personalbetrieb GmbH,Berlin,Teilweise Home-Office,38.000 - 51.000 €/Jahr  (geschätzt für Vollzeit)
Business / Data Analyst (m/w/d),GEMA - Gesellschaft für musik. Aufführungs- und mechan. Vervielfältigungsrechte,Berlin,Teilweise Home-Office,45.000 - 62.000 €/Jahr  (geschätzt für Vollzeit)
Duales BA-Studium Wirtschaftsinformatik Data Science & KI (m/w/d) - Düsseldorf & Ravensburg,Publicis Media GmbH,Düsseldorf,Teilweise Home-Office,
Duales Studium (DHBW) - Data Science und künstliche Intelligenz (m/w/d) 2025,Schaeffler Technologies AG & Co. KG,Herzogenaurach,Teilweise Home-Office,
Praktikum Data Science,Lidl Stiftung & Co. KG,Neckarsulm,,
Praktikum im Ressort Marketing als Data Analyst (6 Monate),TARGOBANK,Düsseldorf,,
Business Data Analyst & Engineer (m/w/d) (Voll- oder Teilzeit),ROLAND Rechtsschutz-Versicherungs-AG,Köln,Teilweise Home-Office,67.000 - 89.000 €/Jahr  (geschätzt für Vollzeit)
Duales Studium Data Science und Artificial Intelligence (FH Wedel) – M. Sc. (m/w/d) Beginn August 2025,Lufthansa Technik AG,Hamburg,Teilweise Home-Office,
Business / Data Analyst*in (w/m/div),Sparda-Bank Berlin eG,Berlin,Teilweise Home-Office,47.000 - 63.000 €/Jahr  (geschätzt für Vollzeit)
Project & Data Performance Analyst (m/w/d) in Hamburg,VELUX Deutschland GmbH,Hamburg,Teilweise Home-Office,
Junior Data Analyst (m/w/x),Arvato SE,"Gütersloh, Hannover",Teilweise Home-Office,43.000 - 52.000 €/Jahr  (geschätzt für Vollzeit)
Sales Business Planner & Data Analyst (m/w/d),Pernod Ricard Deutschland GmbH,Köln,Teilweise Home-Office,
Online Data Analyst (m/w/d),LOTTO Hessen GmbH,Wiesbaden,Teilweise Home-Office,
Financial Planning & Financial Data Analyst (m/w/d),flaschenpost SE,Münster,Teilweise Home-Office,54.000 - 74.000 €/Jahr  (geschätzt für Vollzeit)
