title,company,location,bundesland,industry,job_type,job_place,experience,avg_salary,english,french,german,italian,spanish,ETL,Data Science,Data engineering,Analytical skills,Statistics,Artificial intelligence,Soft skills,Python,SQL,ABAP,Alteryx,Dashboards (Tableau PowerBI),activity,source
(Advanced) Data Developer (m/w/d) OBI Smart Technologies GmbH,OBI,Deutschland,Nordrhein-Westfalen,E-commercetrade and Retail,,,Middle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(JUNIOR) BUSINESS ANALYST (W/M/D) / DATA ANALYST (W/M/D) IM CONTROLLING,ZECH MANAGEMENT GMBH,Bremen,Bremen,,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Account Manager / Customer Development Manager Stammkundenvertrieb (m/w/d),All for One Group SE,Oldenburg,Niedersachsen,,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Analyst (m/w/d) Data Analytics,Syncwork,Berlin,Berlin,,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Analyst Modelled data - Technology Topics (m/f/d),Statista GmbH,Hamburg,Hamburg,Internet and IT,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Services,Indeed
(Junior) Analyst – Advertising & Media (m/f/d),Statista GmbH,Hamburg,Hamburg,Internet and IT,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Services,Indeed
(Junior) Analyst/Associate Data Operations (m/w/d),Institutional Investment Partners GmbH,Wiesbaden,Hessen,E-commercetrade and Retail,Full-time,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Construction trade,Indeed
(Junior) BI Data Analyst (m/w/d),4PL Central Station Group,Langenfeld,Nordrhein-Westfalen,Transport and logistics,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Logistics company,Indeed
(Junior) Business Analyst - E-Commerce (m/w/d),flaschenpost SE,Münster,Nordrhein-Westfalen,Transport and logistics,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Business Analyst Supply Chain E-Commerce (m/w/d),REWE,Köln,Nordrhein-Westfalen,E-commercetrade and Retail,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Food retail,Indeed
(Junior) Business Unit Financial Analyst (m/w/d),TD SYNNEX,München,Bayern,,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Data Ops Engineer - Data Sourcing (m/f/d),Statista GmbH,Hamburg,Hamburg,Internet and IT,Flexi-time,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Services,Indeed
(Junior) Digital Data Analyst (m/w/d) (Remote),PsyCommerce,Homeoffice,Nordrhein-Westfalen,Media and publishing,,,Junior,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Financial Analyst (m/w/d) - Heidelberg,tts GmbH,Heidelberg,Baden-Württemberg,Industry and mechanical engineering,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Control cabinet manufacturer,Indeed
(Junior) Logistics Data Analyst (m/w/d),flaschenpost SE,Münster,Nordrhein-Westfalen,Transport and logistics,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Security Analyst / Auditor (gn*) Electronic Identities and Trust Services (eIDAS),TÜV TRUST IT Unternehmensgruppe TÜV AUSTRIA,Düsseldorf,Nordrhein-Westfalen,Computer Software,Part-time,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Software houses,Indeed
(Junior) Softwareentwickler Audit Analytics (m/w/d),Deloitte GmbH,Main,Bayern,Management Consulting,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior) Trade Operations & Trade Reporting Analyst (all genders),21X,Lindau,Bayern,Banking and financial services,Full-time,,Junior,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Junior-) Projektcontroller,Rhomberg Sersa Bahntechnik GmbH,Lübeck,Schleswig-Holstein,Industry and mechanical engineering,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medical equipment and medical supplies manufacturer,Indeed
(Junior/Mid-level) Big Data Engineer,Zattoo,Berlin,Berlin,Service company,,,Junior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service company,Indeed
(SENIOR) DATA ANALYST*/BUSINESS ANALYST*,New Yorker,Braunschweig,Niedersachsen,E-commercetrade and Retail,,,Senior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clothing retail,Indeed
(Senior) Business & Data Analyst (w/m/d),freenet DLS GmbH,Hamburg,Hamburg,Building,,,Senior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Building cleaning company,Indeed
(Senior) Business Analyst / Data Analyst (m/w/d),Dr. Kurt Wolff GmbH & Co. KG,Bielefeld,Nordrhein-Westfalen,E-commercetrade and Retail,,,Senior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Branded goods manufacturer,Indeed
(Senior) Business Analyst Digital Sales (m/w/d),R+V Allgemeine Versicherung AG,Wiesbaden,Hessen,Internet and IT,,,Senior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IT service company,Indeed
(Senior) Business Analyst/Product Owner (m/w/d) - Retail Consumer Services â NON FOOD,CGI Group Inc.,Nordrhein,Nordrhein-Westfalen,,,,Senior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
(Senior) Communication Manager / Data Analyst (m/w/d),Bundesdruckerei GmbH,Berlin,Berlin,Federal authorities,,,Senior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Associations and associations,Indeed
(Senior) Consultant (m/w/d) EDI,All for One Group SE,Oldenburg,Niedersachsen,,,,Senior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Indeed
