Financial Planning & Financial Data Analyst (m/w/d),Münster,37500,57500,Full-time,flaschenpost SE,"Um unsere Mission zu erfüllen, suchen wir zum nächstmöglichen Zeitpunkt einen Financial Planning & Financial Data Analyst (m/w/d) , der unser Controlling & Finance-Team"
Data Analyst Pricing (m/w/d),Menden,47000,65500,Full-time,OBO Bettermann GmbH,Data Analyst Pricing (m/w/d) Über OBO Bettermann ...
Business & Data Analyst (w/m/d),Hamburg,43000,72000,Full-time,plusYOU GmbH,"Business & Data Analyst (w/m/d) in Hamburg ""Digital + Modern + Unabhängig - Getreu diesen Mottos geht es weiterhin führend in die Zukunft."""
Data Analyst / Data Engineer,München,54000,73500,Full-time,Rahantech GmbH,Intro Rahantech is hiring a skilled Data Analyst / Data Engineer on behalf of a fast-growing company in Germany.
BI Consultant/ Data Analyst (w/m/d) mit Berufserfahrung,Neu-Isenburg,43000,61500,Full-time,RSM CONSULT GMBH,Unser Team in Neu-Isenburg/Frankfurt Main sucht neue Kollegen/innen als: BI Consultant/ Data Analyst (w/m/d) mit Berufserfahrung Was Sie erwartet Sie konzipieren
Business / Data Analyst (m/w/d) Energiewirtschaft,Düsseldorf,40000,58500,Full-time,CHECK24,Wir freuen uns auf Deine Bewerbungsunterlagen als Business / Data Analyst (m/w/d) Energiewirtschaft.
Data Analyst SCM (m/w/d),Schwalbach am Taunus,47000,64500,Full-time,matchING Engineering GmbH,Kenntnisse von SAP-SD / MM & Supply Chain Management sind wünschenswert Sie verfügen über ein analytisches Denken und sehr gutes Zahlenverständnis Verhandlungssicheres Deutsch
Digital Service Data Analyst (m/w/d),Schwalbach am Taunus,46500,62500,Full-time,matchING Engineering GmbH,
Data Analyst SCM (m/w/d),Darmstadt,47000,64500,Full-time,matchING Engineering GmbH,Kenntnisse von SAP-SD / MM & Supply Chain Management sind wünschenswert Sie verfügen über ein analytisches Denken und sehr gutes Zahlenverständnis Verhandlungssicheres Deutsch
Process Data Analyst (m/w/d),Neuwied,47500,63000,Full-time,Tesla Automation GmbH,Prozessoptimierungen Zielgruppengerechte Aufbereitung und Präsentation von Analyseergebnissen Was mitzubringen ist: Erfolgreich abgeschlossenes Hochschulstudium in Data
EHR Data Analyst,Ehr,46500,63500,Full-time,Brightli,The EHR Data Analyst position offers...
Business Analyst / Business Data Analyst / Data Analyst,Spring,47500,71500,Full-time,TechnoGen,"TechnoGen Spring, TX 77373, USA Published : 6/14/2022 Hi, Role: Business Analyst / Business Data Analyst / Data Analyst Location : Spring, TX / Frisco, TX (Onsite"
Data Analyst / Senior Data Analyst,Philadelphia,48500,64000,Full-time,True Platform,ABOUT THE ROLE We are looking for a Data Analyst / Senior Data Analyst.
Data Analyst (m/w/d) - Clinical Supply Management | 530283,Ludwigshafen am Rhein,60000,75000,Temp,HOX Life Science GmbH,"Für ein Pharmaunternehmen in Ludwigshafen suchen wir einen Data Analyst (m/w/d) zur Organisation, Abwicklung und Optimierung der anfallenden Tätigkeiten rund um"
Data Analyst (m/w/d) in der Energiebranche,Worms,55000,85000,Full-time,Amadeus Fire AG,"Data Analyst (m/w/d) in der Energiebranche Referenz 12-196186 Lieben Sie es, im Team zu arbeiten und suchen zudem eine neue Herausforderung, in der Sie Ihr fachliches"
Junior Data Analyst (m/w/x),Gütersloh,N/A,N/A,Student,Arvato SE,Dann ist die Position des Junior Data Analyst (m/w/x) an unserem Standort in Gütersloh oder Hannover genau das Richtige für dich!
Senior Data Analyst (f/m/d),Berlin,N/A,N/A,Temp,BMG RIGHTS MANAGEMENT GmbH - Corporate,"Senior Data Analyst (f/m/d) Founded in 2008, BMG has become the fourth-largest music company worldwide."
Data Analyst with ML Experience (w/m/d) - Data Science & Analytics,Berlin,45000,65000,Full-time,Über Billie,"Data Analyst with ML Experience (w/m/d) at Billie Berlin We are Billie, the leading provider of Buy Now, Pay Later (BNPL) payment methods for businesses, offering"
Data Analyst (m/w/d),Tübingen,49500,66000,Full-time,AVAT Automation-GmbH,"In Ihrer Rolle als Data Analyst (m/w/d) tragen Sie aktiv dazu bei, aus Daten wertvolle Erkenntnisse sowohl für unsere Kunden als auch für AVAT zu gewinnen."
FinOps-Data Analyst (m/w/d),Düsseldorf,46500,66500,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
FinOps-Data Analyst (m/w/d),Gütersloh,46500,66500,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
FinOps-Data Analyst (m/w/d),München,48000,69000,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
FinOps-Data Analyst (m/w/d),Berlin,46500,65000,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
FinOps-Data Analyst (m/w/d),Hamburg,47500,68000,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
Data Analyst (m/f/d),Böblingen,55500,86000,Full-time,Advantest Europe GmbH,"Global Senior Process & Data Analyst (m/f/d) Böblingen Global Senior Process & Data Analyst (m/f/d) Aufgaben: As part of the global transformation, you will shape"
Data Analyst (m/w/d),Hirschau,43000,61000,Full-time,Conrad Electronic SE,Data Analyst (m/w/d) Conrad Electronic SE Hirschau Zentrale Vollzeit Unsere Erfolgsformel Als zuverlässiger Partner machen wir die Beschaffung von technischem Bedarf
Data Analyst - Enterprise Risk Management & Data Analytics (m/w/d),Düsseldorf,49500,82500,Full-time,Deloitte GmbH,Data Analyst - Enterprise Risk Management & Data Analytics (m/w/d) Du willst im Bereich Corporate Functions – Risk & Reputation ein bedarfsgerechtes Risiko- und
Data Analyst (m/w/d),Essen,46500,64500,Full-time,Abrechnung und Services im Gesundheitswesen. Als familiengeführte Unternehmensgruppe,"Wir sind die opta data Gruppe, einer der führenden Anbieter für IT, Abrechnung und Services im Gesundheitswesen."
Data Analyst (m/w/d) - ID: 241,Erlangen,49500,70500,Part-time,SINTEC,Data Analyst (m/w/d) - ID: 241 Über uns Software made in Franken – bei SINTEC entwickeln wir Software mit Leidenschaft.
Business Intelligence Analyst / Data Analyst Insurance Frankfurt (m/w/d) (fluent in German),Frankfurt am Main,56500,85000,Full-time,Zurich Insurance Company Ltd.,https://www.zurich.de/de-de/ueber-uns/ihre-karriere
Data Analyst Köln (Klein- und Mittelstandskunden) (m/w/d) German fluent,Köln,48500,78000,Full-time,Zurich Insurance Company Ltd.,https://www.zurich.de/de-de/ueber-uns/ihre-karriere
Data Analyst Köln (m/w/d) fluent German,Köln,48000,79000,Full-time,Zurich Insurance Company Ltd.,https://www.zurich.de/de-de/ueber-uns/ihre-karriere
Data Analyst (m/w/d),Heilbronn,80000,90000,Full-time,Amadeus Fire AG,Data Analyst (m/w/d) Referenz 12-210174 Ihre Karriere - mit Amadeus Fire eine nachhaltig gute Entscheidung!
Data Analyst Automotive Hochvoltspeicher (m/w/d),München,32000,43500,Full-time,Bertrandt AG,Data Analyst Automotive Hochvoltspeicher (m/w/d) Ort: München
Data Analyst (m/w/d),Bonn,49000,73000,Full-time,Cintellic GmbH,Data Analyst (m/w/d) Zielgruppe: Berufserfahrene – Standort: Frankfurt / Rhein-Main / Hybrid Die CINTELLIC Consulting Group ist eine der führenden Unternehmensberatungen
Data Analyst / Data Engineer BI (m/w/d),Berlin,54500,65500,Full-time,BITMARCK Holding GmbH,"Berlin, Hamburg, Frankfurt am Main, Essen, Dresden ab sofort Deine Aufgaben – das machst du bei uns: Wirke in einem crossfunktionalen Team als Administrator (m/w/d)"
IT Informatiker Data Analyst A320 Flugzeugbau (w/m/d) Hamburg-Finkenwerder,Hamburg,46500,71500,Full-time,AGILIOS Personal GmbH,Analyst A320 Flugzeugbau (w/m/d) Hamburg-Finkenwerder IHRE AUFGABEN Sie sind als Data Analyst – Skywise expert (w/m/d) tätig Sie führen Datenbankmanagement (SAP
Data Analyst (m/w/d),Wiesbaden,56500,77000,Full-time,R+V Versicherung,Services und Kenntnisse in der Datenvisualisierung und im Dashboarding wünschenswert Deutsch: min.
Data Analyst (m/f/d),Hamburg,58000,72000,Full-time,New Work SE,"Relevant professional experience in data analysis, data science or statistics."
Data Analyst (w/m/d) – Data Visualization (Tableau),Frankfurt am Main,47500,64500,Full-time,von Poll Immobilien GmbH,Data Analyst (w/m/d) – Data Visualization (Tableau) Verstärke unser Team als Data Analyst (w/m/d) – Data Visualization (Tableau) in Frankfurt am Main - Westend Deine
FinOps-Data Analyst (m/w/d),Gütersloh,46500,66500,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
FinOps-Data Analyst (m/w/d),München,48000,69000,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
FinOps-Data Analyst (m/w/d),Berlin,46500,65000,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
FinOps-Data Analyst (m/w/d),Hamburg,47500,68000,Full-time,Reply,"FinOps-Data Analyst (m/w/d) Aufgaben Wir bei Liquid Reply suchen FinOps-Daten-Analysten, die in der Lage sind, Transparenz in den großen Datenmengen von Cloud-Anbietern"
Data Analyst (m/f/d),Böblingen,55500,86000,Full-time,Advantest Europe GmbH,"Global Senior Process & Data Analyst (m/f/d) Böblingen Global Senior Process & Data Analyst (m/f/d) Aufgaben: As part of the global transformation, you will shape"
Data Analyst (m/w/d),Hirschau,43000,61000,Full-time,Conrad Electronic SE,Data Analyst (m/w/d) Conrad Electronic SE Hirschau Zentrale Vollzeit Unsere Erfolgsformel Als zuverlässiger Partner machen wir die Beschaffung von technischem Bedarf
Data Analyst - Enterprise Risk Management & Data Analytics (m/w/d),Düsseldorf,49500,82500,Full-time,Deloitte GmbH,Data Analyst - Enterprise Risk Management & Data Analytics (m/w/d) Du willst im Bereich Corporate Functions – Risk & Reputation ein bedarfsgerechtes Risiko- und
Data Analyst (m/w/d),Essen,46500,64500,Full-time,Abrechnung und Services im Gesundheitswesen. Als familiengeführte Unternehmensgruppe,"Wir sind die opta data Gruppe, einer der führenden Anbieter für IT, Abrechnung und Services im Gesundheitswesen."
Data Analyst (m/w/d) - ID: 241,Erlangen,49500,70500,Part-time,SINTEC,Data Analyst (m/w/d) - ID: 241 Über uns Software made in Franken – bei SINTEC entwickeln wir Software mit Leidenschaft.
Business Intelligence Analyst / Data Analyst Insurance Frankfurt (m/w/d) (fluent in German),Frankfurt am Main,56500,85000,Full-time,Zurich Insurance Company Ltd.,https://www.zurich.de/de-de/ueber-uns/ihre-karriere
Data Analyst Köln (Klein- und Mittelstandskunden) (m/w/d) German fluent,Köln,48500,78000,Full-time,Zurich Insurance Company Ltd.,https://www.zurich.de/de-de/ueber-uns/ihre-karriere
Data Analyst Köln (m/w/d) fluent German,Köln,48000,79000,Full-time,Zurich Insurance Company Ltd.,https://www.zurich.de/de-de/ueber-uns/ihre-karriere
Data Analyst (m/w/d),Heilbronn,80000,90000,Full-time,Amadeus Fire AG,Data Analyst (m/w/d) Referenz 12-210174 Ihre Karriere - mit Amadeus Fire eine nachhaltig gute Entscheidung!
Data Analyst Automotive Hochvoltspeicher (m/w/d),München,32000,43500,Full-time,Bertrandt AG,Data Analyst Automotive Hochvoltspeicher (m/w/d) Ort: München
Data Analyst (m/w/d),Bonn,49000,73000,Full-time,Cintellic GmbH,Data Analyst (m/w/d) Zielgruppe: Berufserfahrene – Standort: Frankfurt / Rhein-Main / Hybrid Die CINTELLIC Consulting Group ist eine der führenden Unternehmensberatungen
Data Analyst / Data Engineer BI (m/w/d),Berlin,54500,65500,Full-time,BITMARCK Holding GmbH,"Berlin, Hamburg, Frankfurt am Main, Essen, Dresden ab sofort Deine Aufgaben – das machst du bei uns: Wirke in einem crossfunktionalen Team als Administrator (m/w/d)"
IT Informatiker Data Analyst A320 Flugzeugbau (w/m/d) Hamburg-Finkenwerder,Hamburg,46500,71500,Full-time,AGILIOS Personal GmbH,Analyst A320 Flugzeugbau (w/m/d) Hamburg-Finkenwerder IHRE AUFGABEN Sie sind als Data Analyst – Skywise expert (w/m/d) tätig Sie führen Datenbankmanagement (SAP
Data Analyst (m/w/d),Wiesbaden,56500,77000,Full-time,R+V Versicherung,Services und Kenntnisse in der Datenvisualisierung und im Dashboarding wünschenswert Deutsch: min.
Data Analyst (m/f/d),Hamburg,58000,72000,Full-time,New Work SE,"Relevant professional experience in data analysis, data science or statistics."
Data Analyst (w/m/d) – Data Visualization (Tableau),Frankfurt am Main,47500,64500,Full-time,von Poll Immobilien GmbH,Data Analyst (w/m/d) – Data Visualization (Tableau) Verstärke unser Team als Data Analyst (w/m/d) – Data Visualization (Tableau) in Frankfurt am Main - Westend Deine
(Senior) Data Analyst (m/w/d),Mülheim an der Ruhr,46000,64500,Full-time,Deichmann,Unterstützungskasse Seminare & Fortbildungen Gesundheitsmanagement Firmenevents Als (Senior) Data Analyst (m/w/d) verstärkst Du unser Team in Essen.
